"","x"
"0.005",5.0388598906217
"0.01",5.30673145454228
"0.015",5.53412584221909
"0.02",5.86470161299448
"0.025",5.92959697228776
"0.03",6.29693996704169
"0.035",6.51259498258275
"0.04",6.94014477358391
"0.045",7.16386973623503
"0.05",7.55753167234909
"0.055",7.74253264774603
"0.06",8.38144507779246
"0.065",8.77079332233997
"0.07",9.40177541531014
"0.075",10.0431344006304
"0.08",10.7455800092952
"0.085",10.9947256819116
"0.09",11.7924749180482
"0.095",12.8121339364767
"0.1",13.877829514846
"0.105",14.5293730310293
"0.11",16.2776175760445
"0.115",17.308371559554
"0.12",17.1796349096764
"0.125",17.1901852971597
"0.13",17.63683543895
"0.135",18.0753129697858
"0.14",18.2503508046188
"0.145",18.4806553850472
"0.15",19.2929682994158
"0.155",20.5306211882454
"0.16",21.545192464979
"0.165",25.1827043929071
"0.17",23.83890211766
"0.175",22.401756797571
"0.18",24.1104555710567
"0.185",22.9709086462282
"0.19",24.3205670944276
"0.195",26.4827396648984
"0.2",23.9964896141778
"0.205",26.110850038123
"0.21",25.0048535238849
"0.215",25.5183087651891
"0.22",26.0447184203209
"0.225",27.2156555013541
"0.23",27.0179443116229
"0.235",28.0064940166876
"0.24",30.9291882387722
"0.245",29.7518988251054
"0.25",30.4330883553113
"0.255",30.2754422602958
"0.26",28.4281615604242
"0.265",33.7729133871288
"0.27",33.8834080771632
"0.275",33.7425058786938
"0.28",34.2302322382748
"0.285",33.0380662274638
"0.29",31.6744477078533
"0.295",35.1745925295373
"0.3",36.0077924608166
"0.305",37.0106770012808
"0.31",34.3870345075314
"0.315",36.6031527164961
"0.32",38.4465928616022
"0.325",39.8547888718804
"0.33",38.2108284996054
"0.335",36.5373938709207
"0.34",36.1309951891638
"0.345",38.8783722998324
"0.35",37.3101417035641
"0.355",37.485294564329
"0.36",40.0141743642272
"0.365",39.1865742882111
"0.37",40.0661047699763
"0.375",40.466100796421
"0.38",41.1700932675023
"0.385",39.3463028387421
"0.39",40.9850322929166
"0.395",42.2970771586053
"0.4",42.183360542919
"0.405",41.1935352725639
"0.41",45.1096724269834
"0.415",46.7499181680373
"0.42",43.5914389877395
"0.425",43.2325432009235
"0.43",45.5062346439827
"0.435",45.6570829231674
"0.44",44.094188223953
"0.445",41.0072159659835
"0.45",39.2051968307871
"0.455",40.1504437074288
"0.46",41.9558517248042
"0.465",43.3830863306958
"0.47",43.6287296501304
"0.475",42.8117578381225
"0.48",49.765727778115
"0.485",49.2045002479738
"0.49",46.9293135450746
"0.495",43.5575408807346
"0.5",43.7338279799111
"0.505",46.3051017090694
"0.51",45.1157069359837
"0.515",51.7742445798255
"0.52",46.7084709668848
"0.525",46.2626381504044
"0.53",46.3365506035249
"0.535",42.914014429071
"0.54",46.1404677806682
"0.545",51.4139742276047
"0.55",45.1029032612225
"0.555",46.9163977170707
"0.56",49.3495546345777
"0.565",50.198515147943
"0.57",48.4817118193089
"0.575",50.9661107761748
"0.58",48.4608477743753
"0.585",52.8123917906548
"0.59",48.6355347219249
"0.595",48.809020888832
"0.6",50.9489240432342
"0.605",52.6565655224177
"0.61",50.5080262375634
"0.615",48.2642637378429
"0.62",50.2202338875836
"0.625",50.500548453763
"0.63",48.8514666350417
"0.635",47.7048041084642
"0.64",47.1538984594748
"0.645",48.0389470403163
"0.65",52.1026508770497
"0.655",55.4375814807127
"0.66",54.4314936117903
"0.665",53.3353615989931
"0.67",54.3400330448462
"0.675",59.7483496774771
"0.68",55.4985898426427
"0.685",56.2074764281697
"0.69",56.7920912213391
"0.695",55.2418716558734
"0.7",57.3859306308197
"0.705",61.2973886643445
"0.71",65.4869304297657
"0.715",68.2036576575812
"0.72",65.78643071114
"0.725",63.2856675512581
"0.73",58.3509426606237
"0.735",59.915468626759
"0.74",58.2954736481358
"0.745",56.2098846781397
"0.75",59.0759264860684
"0.755",58.9800968750825
"0.76",58.3708712094229
"0.765",56.4464839491519
"0.77",60.0815103452425
"0.775",61.9343806359564
"0.78",60.5690705291036
"0.785",62.0716067664509
"0.79",62.1931271210002
"0.795",61.0746718761527
"0.8",61.5293354467046
"0.805",61.1777163717688
"0.81",59.5503824985274
"0.815",59.060272823439
"0.82",60.0085437192761
"0.825",60.5007239445509
"0.83",58.6869120367999
"0.835",57.8188297568341
"0.84",57.5618656681565
"0.845",57.8860544080574
"0.85",56.0533645069066
"0.855",54.6295513484893
"0.86",55.6141447572233
"0.865",57.3549951785979
"0.87",57.0462205737612
"0.875",57.1701731541575
"0.88",59.3620884253331
"0.885",58.5190300736725
"0.89",60.0636831811042
"0.895",60.7223486052702
"0.9",62.0653609549476
"0.905",61.8035777663425
"0.91",64.2396446604147
"0.915",64.1259024134601
"0.92",63.6097939822245
"0.925",66.5400067402783
"0.93",65.1991553996569
"0.935",64.7060845028361
"0.94",63.3581804027139
"0.945",62.8249110106959
"0.95",64.3511068644708
"0.955",64.2882266963384
"0.96",63.2802113578262
"0.965",64.0835438486152
"0.97",63.2640389628531
"0.975",67.4655174497636
"0.98",66.4970582158672
"0.985",68.1500517298503
"0.99",67.518612246631
